,x,y,z,node,line_id,point_id,degree,cc,vol_cc,avg_PK_Of_element,element_connectivity,folder_name
197,5.928,9.1867,2.6667,137,162,6,3,40,2.39034,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
198,5.928,9.1867,2.6667,137,193,6,3,40,2.39034,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
199,5.6853,8.8747,3.0,138,161,3,3,40,2.39034,3.5,0.2857142857142857,TCDD1nM4hr1_Subset
200,5.6853,8.8747,3.0,138,192,3,3,40,2.39034,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
201,5.6853,8.8747,3.0,138,193,3,3,40,2.39034,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
202,5.928,8.632,3.0,139,159,2,3,40,2.39034,3.5,0.2857142857142857,TCDD1nM4hr1_Subset
203,5.928,8.632,3.0,139,162,2,3,40,2.39034,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
204,5.928,8.632,3.0,139,192,2,3,40,2.39034,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
205,5.356,8.5627,2.5,140,80,0,4,40,2.39034,2.5,0.4,TCDD1nM4hr1_Subset
206,5.356,8.5627,2.5,140,158,0,4,40,2.39034,4.0,0.25,TCDD1nM4hr1_Subset
207,5.356,8.5627,2.5,140,161,0,4,40,2.39034,3.5,0.2857142857142857,TCDD1nM4hr1_Subset
208,5.356,8.5627,2.5,140,191,0,4,40,2.39034,2.5,0.4,TCDD1nM4hr1_Subset
209,8.5131,8.4686,2.5714,141,79,4,3,29,5.49994,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
210,8.5131,8.4686,2.5714,141,160,4,3,29,5.49994,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
211,8.5131,8.4686,2.5714,141,190,4,3,29,5.49994,3.0,0.3333333333333333,TCDD1nM4hr1_Subset
212,5.824,8.2992,2.7,142,156,3,4,40,2.39034,2.5,0.4,TCDD1nM4hr1_Subset
213,5.824,8.2992,2.7,142,158,3,4,40,2.39034,4.0,0.25,TCDD1nM4hr1_Subset
214,5.824,8.2992,2.7,142,159,3,4,40,2.39034,3.5,0.2857142857142857,TCDD1nM4hr1_Subset
215,5.824,8.2992,2.7,142,189,3,4,40,2.39034,2.5,0.4,TCDD1nM4hr1_Subset
